symbol,NGF3-1-1,NGF3-1-2,NGF3-1-3,NGF3-2-1,NGF3-2-2,NGF3-2-3,NGF3-3-1,NGF3-3-2,NGF3-3-3,NGF3-7-1,NGF3-7-2,NGF3-7-3,NGF3-7-4,NGF3-7-5,NGF3-7-6,NGF3-7-7,NGF3-7-8,NGF3-C-1,NGF3-C-2,NGF3-C-3,NGF3-1-4,NGF3-1-5,NGF3-1-6,NGF3-2-4,NGF3-2-5,NGF3-2-6,NGF3-3-4,NGF3-3-5,NGF3-3-6,NGF3-7-10,NGF3-7-11,NGF3-7-12,NGF3-7-13,NGF3-7-14,NGF3-7-15,NGF3-7-16,NGF3-7-9,NGF3-C-4,NGF3-C-5,NGF3-C-6
A1bg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1cf,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A1i3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2m,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3galt2,8,0,0,0,0,0,6,23,0,90,219,6,7,7,53,23,1,0,1,4,0,0,0,22,9,665,0,4,2,0,1,0,3,0,4,4,0,0,1,5
A4galt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AA926063,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Aaas,2,0,0,0,389,0,2,1,5,4,73,0,118,2,19,1,2,0,4,0,0,1,0,0,0,0,1,1,0,2,2,0,3,0,0,0,0,3,3,0
Aacs,2,1,230,25,0,4,78,2,2,97,10,164,53,290,47,74,6,31,2,3,5,1,4,6,288,0,0,0,4,50,4,66,655,175,4,0,3,2,4,3
Aadacl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadat,0,0,12,0,0,0,0,3,0,0,3,7,129,0,3,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0
Aaed1,139,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,166,1,0,0,5,3,0,769,7,0
Aagab,215,0,0,0,69,0,0,0,23,4,2,142,734,0,0,0,0,0,202,0,1,0,0,285,0,0,0,41,0,1,28,0,0,1,396,0,1,0,0,57
Aak1,0,0,2,1,1,0,5,0,1,134,2,0,5,0,0,10,1,0,0,0,0,0,3,0,0,0,0,1,0,1,84,1,0,0,3,0,0,0,0,2
Aamdc,0,0,0,0,0,14,104,0,0,35,1,0,64,32,0,442,2,0,0,7,101,0,1,0,1,1,0,2931,3,13,1,0,0,0,5,0,0,1,4,0
Aamp,555,2167,231,181,1490,88,4441,4362,600,1012,1411,281,454,1024,68,1568,2698,435,1881,575,2723,4658,4,290,2033,50,4163,59,1313,2568,1071,2735,751,20,629,1630,947,32,2,42
Aanat,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aar2,0,0,0,0,1,0,6,1,0,12,38,0,109,0,6,0,0,1,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0
Aard,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,2,0
Aars2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Aarsd1,95,5083,185,1,1523,153,200,283,54,320,129,60,131,1163,31,375,6632,42,13,14,1376,2,5,1823,2,17,1812,1560,3261,14,1123,17,52,24,190,8,17,20,1,2
Aars,2826,1339,622,323,6730,113,4370,7724,3886,11977,3348,7823,9460,3860,304,7006,3767,2912,6275,356,1812,125,952,3303,2469,37,1519,2362,4323,3373,3176,5196,3533,235,1920,1752,4373,893,4763,602
Aasdhppt,1680,4,10,1,11,0,2320,7,23,1013,685,469,784,1766,29,559,2828,0,9387,406,1016,0,37,5,4053,1,21205,336,12,2850,18,60,9,2226,3061,10,34,860,0,451
Aass,0,40,8,0,0,1,4,0,900,251,3,5,0,100,73,296,0,0,0,0,8,0,0,6,0,0,0,0,15,0,0,0,37,0,5,4,20,0,8,0
Aatf,833,9,0,0,217,0,206,2,2896,573,264,1980,415,505,66,1002,13,4,2095,0,15,0,0,2214,1,0,32,490,4,1,93,39,1,0,285,139,813,5,0,11
Aatk,0,0,1,0,1,0,1,1,2,0,1,1,0,0,1,1,2,0,0,0,2,2,2,1,5,1,0,2,1,2,49,1,1,0,0,0,0,1,0,0
Abat,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Abca1,304,0,0,6,0,0,0,0,2,263,410,65,9,99,35,393,4,0,0,5,1,1,1,9,0,0,0,143,0,1,106,0,644,1,0,226,1,3,4,3
Abca2,159,0,0,5,0,0,1,2,0,16,12,12,3,6,30,19,11,0,1,0,0,1,0,0,1,2,735,4,2,0,483,34,2,0,4,2,1,8,1,14
Abca4,0,2,0,0,0,0,24,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0,2,0,0,0,1,0,0
Abca5,58,0,0,36,6,48,552,0,47,7,23,12,124,280,98,0,0,0,0,3,7,38,1,1,0,2,94,0,1,1100,11,0,19,1,117,0,0,1,0,0
Abca7,6,2,1,1,0,4,100,25,3,124,345,5,34,2,35,1118,7,16,5,1,3,10,7,2,8,5,12,5,4,14,0,11,6,11,24,16,6,9,6,17
Abca8a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Abca13,0,1,0,1,0,2,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,1,4,1,2,2,0,1,1,3,1,264,1,0,0,0,2
Abca15,0,0,0,0,2,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
Abca17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,2,0,1,0,0,0,1,1
Abcb1a,61,0,3,1917,208,0,0,341,1,43,1097,225,134,33,32,1,0,0,0,0,0,0,0,2042,0,0,1,0,996,0,6,0,6,0,823,0,2,1,0,2
Abcb1b,3,0,635,0,0,26,0,0,0,206,146,3,13,790,7,30,0,1,0,1,11,0,3,14,0,0,25,2,2,0,6,40,7,0,23,0,0,0,0,0
Abcb4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Abcb6,84,1,0,4847,11,0,22,100,140,291,70,40,630,223,12,283,888,0,128,1,0,0,0,37,0,2,64,0,170,113,57,1,105,7,97,247,269,1,1,3
Abcb7,4,0,1,14,1033,0,0,2242,34,226,27,15,113,21,0,0,10,612,0,0,36,0,5,16,0,0,3027,3533,0,3,15,1,0,0,0,12,1,0,1,0
Abcb8,30,0,0,0,0,0,0,25,1,7,154,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Abcb9,0,0,0,1,0,1,2,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1
Abcb10,91,2,4,3,1,1,1,0,43,4,65,0,3,5,57,25,23,2,2,0,14,2,3,45,4,20,10,3,3,40,46,0,1,2,1,7,3,2,15,1
Abcb11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0
Abcc1,13,0,2,30,1,0,304,2,4,0,124,20,854,43,21,35,873,32,1171,4,39,0,0,543,1,5,3,5,155,24,23,0,50,2,309,374,0,15,0,82
Abcc2,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1
Abcc3,0,0,0,0,2,0,1,0,7,2,6,1,6,0,0,3,4,0,2,0,0,0,0,0,0,1,7,0,0,0,0,5,670,0,0,0,0,0,0,0
Abcc4,8,2,0,0,8,100,0,3,9,163,30,10,0,5,0,253,0,226,61,0,1,0,0,1263,0,1,2,1,1,22,123,0,22,4,102,0,5,0,1,50
Abcc5,324,0,0,0,1,0,1,38,0,127,52,49,23,4,18,1,6,0,43,1,1,0,0,2,1,0,0,24,0,0,1,0,0,7,5,9,0,0,12,2
Abcc6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,0,2,0,0
Abcc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0
Abcc9,40,17,0,0,0,0,1,1,1,206,480,3,0,248,67,178,9,0,0,0,0,0,0,0,0,3,0,0,0,14,2,24,8,629,409,0,13,0,1,0
Abcc10,2,0,0,1,0,1,0,0,0,0,1,2,0,0,1,1,0,0,1,0,2,3,2,1,1,0,0,12,0,1,1,0,0,1,1,0,0,1,1,1
Abcc12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Abcd1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abcd2,0,0,0,5,5,0,15,17,0,47,1,1,0,95,0,1,2,1,4,5,0,0,2,3,0,8,2,3,1,17,3,0,2,1,4,1,0,0,5,2
Abcd3,2510,1,1,4,20,2,1579,1,877,129,496,2009,226,779,21,344,231,14,8,270,519,2,4,86,21,5,1,7,13,3,98,550,174,21,26,13,14,6,5,189
Abcd4,1,0,0,1,0,1,25,0,3,20,2,4,3,0,2,10,0,0,0,0,0,0,0,0,1,1,2325,1,2,0,2,2,1,0,1,0,0,0,0,0
Abce1,914,82,1,1,219,3,1329,483,2105,194,121,499,210,801,190,280,315,80,81,67,2402,2532,1,1088,212,8,536,15,1086,298,2831,1739,43,158,62,50,34,16,3,8
Abcf1,7162,12141,240,179,1338,26,6742,144,3305,2319,2984,9341,2076,5244,118,5018,4720,2110,5897,411,3170,189,1028,7638,55,15,353,467,13222,8308,1344,678,1762,5690,2025,1539,823,904,1,792
Abcf2,249,225,24,0,5165,0,171,2,11,171,329,550,33,388,13,179,2392,10,10,0,297,1,0,37,117,9,35,772,8,23,9,18,3,10,100,30,5,9,0,2
Abcf3,33,0,7,0,44,0,778,0,35,14,84,332,0,343,35,17,8,5,0,0,0,0,0,2,1,0,1,17,1,3,2,2,456,19,0,3,1,0,0,1
Abcg1,8,6,0,2,117,0,4,59,50,127,401,10,94,188,10,84,14,1,0,1,19,0,160,2,0,0,11,13,3,14,127,0,249,1121,5,35,4,0,0,0
Abcg2,1,0,0,0,0,0,2,0,0,18,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Abcg3l1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
Abcg3l2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abcg3l3,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,27,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
Abcg3l4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abcg3,0,0,0,0,0,0,78,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Abcg4,0,0,2,0,0,0,1,0,1,13,170,1,0,0,7,1,1,0,0,1,6,1,1,2,1,2,3,1,5,0,2,0,0,0,2,0,0,1,3,0
Abcg5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0
Abcg8,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Abhd1,2,5,0,4,8,0,1,0,2,18,2,279,10,4,0,0,3,26,0,0,0,1,0,2,0,1,6,6,3,1,3,1,1,5,4,4,1,0,1,0
Abhd2,3,0,0,1,0,0,5,1,58,0,0,1,0,1,17,0,0,165,0,18,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Abhd3,0,0,0,8,0,0,0,38,11,2,5,162,0,145,0,0,13,0,0,1,0,0,0,44,0,0,121,16,0,1,2,0,0,0,0,1,0,0,0,2
Abhd4,10,3519,24,0,623,93,133,129,23,35,368,29,24,824,78,2,8,51,17,1,405,0,0,838,10,0,18,680,1997,38,1476,2,915,6,9,187,4,23,0,2
Abhd5,0,0,2,0,0,2,0,0,0,1,1,521,1,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,2,1,0,0,856,0,0,0,0,0,0,1
Abhd6,52,5,0,0,0,0,2,1,4,130,178,48,11,159,1046,459,96,0,171,20,1844,12,0,187,1,4,4,43,212,24,24,2,9,30,464,46,1,252,4,245
Abhd8,167,11,5,0,0,0,35,0,0,117,10,12,329,14,13,11,43,39,21,0,3,33,0,13,8,0,10,11,3,17,26,12,4,31,33,13,870,15,4,25
Abhd10,0,0,0,0,0,0,0,0,2,1,0,1,0,0,4,0,27,3,0,0,0,163,0,0,0,7,0,0,1,0,0,0,0,0,0,3,0,0,0,0
Abhd11,289,0,0,1,16,47,217,0,6,167,62,31,125,45,83,25,72,0,32,113,730,0,0,0,55,0,7,2,14,2002,127,2861,3,38,11,4,0,1,3,3
Abhd12b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Abhd12,0,0,0,0,813,0,3,0,0,141,2,1104,23,20,1,22,16,35,3,65,18,0,0,0,226,1,7,0,0,3,4,4,0,1,4,9,15,0,0,5
Abhd13,65,0,0,0,0,1,9,507,11,99,6,19,7,89,87,109,29,18,20,48,4,0,128,625,0,0,10,1,0,6,9,3,7,0,40,11,0,0,10,6
Abhd14a,0,0,0,0,0,1,0,0,0,12,0,0,1,0,32,46,0,0,0,0,166,0,0,1,0,0,1,2,1,0,1,0,0,0,1,0,0,0,0,2
Abhd14b,35,507,0,1,754,0,0,35,20,218,386,261,19,28,44,167,20,28,146,1,23,0,1,1183,1,0,38,26,3,1627,25,9,3,446,10,8,6,15,1,6
Abhd15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,1,1,1,0,1,0,0,0,0
Abhd16a,0,0,0,342,1,0,0,0,0,6,1,7,0,0,1,11,3,0,6,0,114,0,0,7,1,0,1,13,0,4,1,0,1,1,0,0,3,1,1,0
Abhd16b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhd17a,13,50,74,1,157,2,82,104,86,423,138,79,454,354,19,117,273,3,189,10,660,793,4,313,52,76,419,49,37,496,268,210,108,29,52,58,10,21,62,9
Abhd17b,75,68,7,1195,45,0,12,78,41,53,62,10,17,76,195,150,2,76,6,2,189,0,0,86,3,0,11,1774,988,293,110,9,25,41,64,93,3,953,30,0
Abhd17c,2,0,0,3,20,0,25,1,39,31,1,63,315,18,5,95,50,0,1,8,145,1,35,10,17,30,3,65,5,10,30,49,6,0,8,40,4,8,0,0
Abi1,2198,1,3,0,8,9,208,0,64,222,171,102,203,167,63,323,99,9,0,8,332,1,0,11,21,2,139,1592,3413,11,9,53,172,2,72,14,5,6,1,2
Abi2,12,80,26,2,1,0,11,8,62,136,191,372,26,493,14,257,2432,1,3,0,59,1,3,101,3,2,93,19,0,43,35,5,17,4,148,23,724,5,2,4
Abi3,0,0,0,0,0,0,0,0,0,33,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
Abl1,2,0,1,0,3,1,12,1,0,71,0,0,0,2,0,1,4,0,0,0,3,0,0,2,1,0,0,0,0,1,0,0,0,0,50,0,0,0,0,0
Abl2,6,0,2,0,0,0,2,0,1,127,70,17,42,243,0,59,176,14,0,1,0,0,2,2,1,3,1,0,0,0,9,1,30,1,2,0,4,1,0,14
Ablim2,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,1,0,26,0,0,0,0,0,1,0,0,0,0,0,129,0,1,3,0,0,0,1,11,1,0
Ablim3,0,1,2,1,0,0,0,1,7,0,5,0,0,20,7,0,10,0,1,0,0,0,0,0,0,1,2,1,2,0,1,0,9,0,2,1,1,0,0,0
Abo2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Abo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Abracl,434,30,4647,510,5858,68,1533,643,1998,875,964,2365,1543,1830,135,415,1275,129,2026,1762,3885,2765,4006,3097,406,14,7954,11232,7133,4603,2237,43,1072,1508,3245,151,22,376,4956,10
Abra,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abr,297,100,8,8,30,0,4,36,9,166,79,204,7,143,101,33,62,4,0,5,2,3,5,8,49,0,662,248,0,169,2289,66,162,40,93,3,11,0,1,306
Abt1,1827,68,7,3,1638,0,235,39,3,583,181,164,153,885,5,49,1702,278,3538,22,27,0,13,167,6,17,49,28,43,4038,829,1963,9,10,421,1137,35,66,1,3
Abtb1,0,0,0,0,0,0,0,0,0,124,0,42,0,3,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Abtb2,0,0,0,0,0,1,1,0,0,0,1,4,0,0,0,0,44,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac1576,0,0,0,1,0,2,0,0,2,5,0,0,0,0,14,1,1,0,1,1,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,3,0
Acaa1a,113,1,18,16,91,52,74,5564,193,1162,852,1163,507,210,29,387,926,0,31,5,192,6,2,555,23,2,1822,33,4572,27,85,7,123,14,69,95,4,0,2,13
Acaa1b,0,0,0,0,0,0,0,97,0,0,47,12,3,1,1,1,0,0,0,1,2,0,0,9,1,0,111,0,15,0,0,0,0,0,0,0,0,0,0,0
Acaa2,21,0,1,0,14,0,24,71,0,128,73,38,9,91,38,431,1529,2,382,39,4,0,0,3,0,1,3,8,4,21,2,25,3,0,17,0,0,1,0,56
Acaca,0,0,2,1,0,0,129,2,2,63,185,10,166,345,1,107,59,19,0,0,0,0,0,25,2,2,2,3,0,2,92,3,0,1,84,20,2730,0,1,705
Acacb,11,4,22,4,5,5,10,7,3,1,5,11,12,9,4,12,4,36,14,8,30,14,16,4,24,4,15,10,26,3,29,8,1,31,18,4,8,17,9,17
Acad9,405,26,3,0,81,45,37,0,23,517,25,1515,64,78,48,170,195,48,9,0,1987,1,0,401,2,1,52,47,16,532,16,1,8,28,7,37,88,0,2,0
Acad10,0,0,0,1,0,0,0,0,1,0,23,1,30,17,1,0,1,0,0,1,0,0,0,1,18,0,0,0,1,1,4,0,0,0,7,1,0,0,1,0
Acad11,0,0,0,0,0,0,2,0,0,0,3,0,0,3,2,213,8,1,0,0,1,0,0,0,15,0,0,0,3,0,1,0,0,2,0,0,1,1,0,0
Acadl,3079,1496,184,2,3691,30,495,36,291,1363,1504,2720,202,1735,136,81,243,67,3049,2546,5844,170,2941,662,3530,0,3711,670,1895,2429,1920,664,15,596,2264,100,1906,39,590,2332
Acadm,767,0,0,0,0,0,0,0,909,78,208,299,65,233,30,743,158,4,1,0,1,0,0,1544,145,3,32,3938,0,20,1535,10,0,0,8,0,17,1,0,0
Acadsb,0,0,0,0,0,0,1,0,0,0,236,0,0,0,1,1,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acads,1,0,0,0,0,0,0,232,1,96,8,23,25,16,8,0,3,0,0,0,1,1,0,4,0,0,0,4,0,203,5,1,5,0,8,0,0,959,0,17
Acadvl,0,946,1,0,10,0,2,0,0,14,2,96,59,117,82,28,16,0,0,0,0,1,282,2,0,0,2,14,4,22,828,4,0,1,10,0,1284,1,0,1
Acan,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,3,0
Acap1,0,0,0,0,0,0,1,0,0,0,19,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
Acap2,15,3,1,0,258,131,16,1451,17,1133,697,1018,445,852,99,1011,678,587,0,30,3,0,0,1750,0,2,1,0,1,17,1908,0,17,4,1689,0,1474,27,12,1091
Acap3,25,1,0,2,0,0,1,3,3,1,0,1,0,16,0,86,2,0,5,0,1,0,1,2,0,1,1,2,2,1,2,1,2,0,280,3,0,0,0,0
Acat1,1433,4030,1,1,2,150,2327,0,4,56,61,874,4,265,35,151,16,4,19,2,31,0,0,24,8,0,1,1,3,48,6,2,0,3,322,17,0,0,1,10
Acat2,128,575,263,11,0,0,48,0,0,23,4,46,80,102,26,73,7,264,442,0,100,0,5,216,0,0,0,73,18,3,0,10,1,2,1,0,0,0,0,237
Acbd3,640,10,1,36,47,0,777,275,344,409,221,105,301,437,146,430,1326,9,380,0,566,4,12,986,349,0,699,166,1182,236,492,25,50,6,104,2,1,411,0,37
Acbd4,17,0,0,272,0,0,671,1,0,7,257,6,231,1,0,368,0,1,245,0,0,34,0,30,111,0,0,0,29,0,3,1,0,0,54,0,0,0,0,0
Acbd5,162,0,0,0,0,0,0,0,0,0,1,1,18,446,3,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0
Acbd6,43,11,6,0,95,44,145,5,6,316,358,942,569,768,8,204,886,950,10,7,1603,2,184,113,0,1,105,1,5354,1032,248,30,27,1029,43,22,5,3,4414,8
Acbd7,0,5,0,0,0,0,732,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accsl,0,0,0,0,0,0,0,0,1,158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0
Accs,42,0,1016,0,0,1,0,1,1,26,8,35,4,20,4,10,1,0,0,9,0,0,0,0,3,0,0,3,1,4,4,0,0,0,12,0,0,0,0,2
Acd,0,0,1340,2,644,0,3,3,0,84,6,12,168,8,15,139,7,76,0,1,696,0,0,1,0,0,4,10,1,3,597,2,0,1,1,0,1,1010,0,0
Ace2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ace3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,2,2,0,0,2,0,0,0,0,0,0,0
Acer1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0
Acer2,3,4,4,11,379,67,8,3,3,2,0,0,0,0,96,3,2,1,4,9,13,6,38,1,6,8,27,2,12,3,4,16,0,2,0,1,2,20,7,27
Ace,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,2,0,0,30,0,0,0,0,0,1,0,0,3
Ache,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acin1,879,54,1,0,1166,0,5,2,6,495,434,1710,2114,570,9,1409,742,1,2174,0,472,2,0,32,1,2,2,3,576,90,10,10,21,0,112,17,2,1,0,12
Ackr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ackr3,377,239,9,0,0,16,405,2,0,105,30,87,165,0,30,1485,872,20,21,0,515,0,0,1449,3741,7,661,175,23,19,2,8,5,0,876,467,37,341,0,768
Acly,5232,3,2,502,0,1,98,36,7,369,452,165,637,70,61,39,1738,32,13,2,7,360,9,255,45,9,28,14,9,30,19,4,18,3113,80,156,16,9,12,55
Acmsd,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acn9,0,0,0,0,0,0,1070,0,0,32,0,0,0,0,0,0,0,0,0,0,2097,3846,0,1524,0,1,0,2846,0,2,2,1,0,1,1,0,2,0,0,2645
Acnat2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aco1,78,0,4,0,3,0,27,0,39,664,20,855,549,889,131,254,115,1,30,3360,19,0,3,26,91,7,32,72,26,9,0,45,12,546,11,20,34,34,2,33
Aco2,39,9,31,97,52,3,190,40,603,411,420,49,171,881,69,314,237,70,5949,66,1667,1,843,1822,2871,13,95,89,1072,2005,1818,677,52,1779,280,182,51,160,1095,1888
Acot1,1446,3171,0,1,0,0,73,0,91,62,21,224,266,92,3,51,0,2586,4,0,192,0,0,3,0,1,81,1228,12,0,203,0,0,2,153,134,0,604,2,53
Acot2,0,0,18,0,207,0,1,2856,148,23,1,0,1,108,56,81,3,0,34,6,7,0,9,30,81,94,0,0,5,0,13,0,0,0,1,0,1,0,0,7
Acot3,0,0,1,0,0,0,0,2,5,2,0,4,1,0,0,0,0,3,3826,0,2,0,2075,25,2,0,0,1,377,14,0,0,3,1,472,41,1452,20,0,0
