Sample,Group,Batch,Annotation
NGF3-1-1,1,1,N
NGF3-1-2,1,1,N
NGF3-1-3,1,1,N
NGF3-2-1,2,1,Y
NGF3-2-2,2,1,Y
NGF3-2-3,2,1,Y
NGF3-3-1,3,1,Y
NGF3-3-2,3,1,Y
NGF3-3-3,3,1,Y
NGF3-7-1,7,1,Y
NGF3-7-2,7,1,Y
NGF3-7-3,7,1,Y
NGF3-7-4,7,1,Y
NGF3-7-5,7,1,Y
NGF3-7-6,7,1,Y
NGF3-7-7,7,1,Y
NGF3-7-8,7,1,Y
NGF3-C-1,C,1,N
NGF3-C-2,C,1,N
NGF3-C-3,C,1,N
NGF3-1-4,1,2,N
NGF3-1-5,1,2,N
NGF3-1-6,1,2,N
NGF3-2-4,2,2,N
NGF3-2-5,2,2,N
NGF3-2-6,2,2,Y
NGF3-3-4,3,2,Y
NGF3-3-5,3,2,Y
NGF3-3-6,3,2,N
NGF3-7-10,7,2,Y
NGF3-7-11,7,2,Y
NGF3-7-12,7,2,Y
NGF3-7-13,7,2,Y
NGF3-7-14,7,2,Y
NGF3-7-15,7,2,Y
NGF3-7-16,7,2,Y
NGF3-7-9,7,2,Y
NGF3-C-4,C,2,N
NGF3-C-5,C,2,N
NGF3-C-6,C,2,N
