symbol,NGF-1-1,NGF-1-2,NGF-1-3,NGF-1-4,NGF-2-1,NGF-2-2,NGF-2-3,NGF-2-4,NGF-3-1,NGF-3-2,NGF-3-3,NGF-3-4,NGF-C-1,NGF-C-2,NGF-C-3,NGF-1-5,NGF-1-6,NGF-1-7,NGF-2-5,NGF-2-6,NGF-2-7,NGF-3-5,NGF-3-6,NGF-3-7,NGF-7-1,NGF-7-2,NGF-7-3,NGF-C-4,NGF-C-5,NGF-C-6,NGF-1-10,NGF-1-8,NGF-1-9,NGF-2-10,NGF-2-8,NGF-2-9,NGF-3-10,NGF-3-8,NGF-3-9,NGF-7-4,NGF-7-5,NGF-7-6,NGF-C-7,NGF-C-8,NGF-C-9,NGF-1-11,NGF-1-12,NGF-1-13,NGF-1-14,NGF-1-15,NGF-2-11,NGF-2-12,NGF-2-13,NGF-2-14,NGF-2-15,NGF-3-11,NGF-3-12,NGF-3-13,NGF-3-14,NGF-3-15,NGF-C-10,NGF-C-11,NGF-C-12,NGF-C-13,NGF-C-14,NGF-C-15
A1bg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
A1cf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1i3,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
A2m,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3galt2,0,1,0,0,0,11,144,13,2,1,1,13,0,0,21,0,0,0,0,1,2,16,2,0,0,0,0,0,1085,0,846,3,96,0,1004,0,1,2339,2,0,0,0,1,15,1,1,33,0,0,0,9,4,0,12,0,4,0,0,7,0,105,0,6,9,0,35
A4galt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AA926063,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Aaas,0,0,0,331,0,120,10,0,1,5,1,11,0,547,31,44,0,0,1,0,95,1,2,1,2,0,0,8,0,0,3,0,1,0,0,5,2,0,0,0,0,0,50,175,51,283,2,1,4,1,13,8,6,0,0,401,0,1,0,0,34,0,0,3,0,13
Aacs,4,41,50,8,229,26,8,22,19,16,40,20,10,75,34,3500,4,2,3,12,3,55,44,17,44,10,2,11,1,7,31,2,0,2,3,0,11,7,1,0,5,54,6,163,58,3,3,1,10,1,17,2,3,4,121,45,4,4,48,0,260,11,2,292,9,151
Aadacl2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadacl3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aadac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aadat,0,0,0,0,174,0,0,0,0,33,1,27,0,0,0,0,0,0,0,0,0,1,0,0,97,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,6,0,0,0,0,0,98,0,0,0,0,0,0,2,0,10,0,2,2,6,0,0,0
Aaed1,0,0,0,1,25,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,2,4,0,0,1,0,1757,0,1,1,0,0,1,3
Aagab,0,0,0,0,0,1066,3,0,0,0,1,0,149,0,2,32,0,0,2,0,0,14,0,0,63,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,14,0,0,0,0,0,1,7,0,0,0,1,7,0,0,0,0,80,0,0,309,0,14
Aak1,1,2,0,0,55,11,0,2,768,2,2,1,1,0,0,692,0,0,0,2,60,1,15,1,83,3,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,2,1,0,1,0,0,23,1,8,0,0,0,338,0,0,9,0,0
Aamdc,0,0,0,0,89,128,8,1216,0,227,0,0,0,0,1,1205,286,0,0,190,0,0,46,1,116,1,0,0,0,0,0,0,3,0,24,1,0,2,0,2,0,15,0,0,1,10,0,0,0,7,90,0,1,244,0,3,1,0,0,0,3,3,0,0,0,104
Aamp,123,3568,42,1026,1272,1800,807,4481,3344,568,476,490,162,3137,1457,2094,2289,105,3448,541,185,757,630,1834,563,30,53,1599,2116,694,216,4342,471,8145,1323,354,2493,260,1117,126,5,176,2155,218,210,2582,362,46,945,596,575,900,3850,690,10,461,505,408,2016,457,1579,168,197,2685,16,1419
Aanat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Aar2,0,0,0,0,1,4,0,0,0,0,0,125,0,0,48,2,0,0,11,5,0,7,38,0,1,1,1,0,0,0,0,0,12,0,2,28,3,0,19248,1,0,14,7,0,27,3,1,0,0,13,1,0,3,0,0,0,0,4,0,0,3,0,10,133,0,25
Aard,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Aars2,0,0,0,0,0,215,2,0,0,0,0,0,2,1,0,0,1,0,0,379,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,27,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0
Aarsd1,75,25,24,16,933,1605,18,306,275,363,257,143,21,985,674,384,280,88,520,454,2367,424,175,43,309,7,14,5750,1985,4322,174,256,33,0,1344,887,1466,2187,1,9,2,52,1632,2270,360,607,151,1644,423,434,153,965,442,34,191,1134,9,1937,92,358,509,177,51,391,19,1006
Aars,314,1337,78,836,6456,6114,5759,5283,5450,4413,3637,2312,4545,6886,10307,18680,1317,7744,8611,4536,10907,4244,8516,9070,4438,132,187,15379,6248,7257,296,2593,7469,394,9175,12955,8197,1362,1104,548,31,513,13696,10200,4654,1960,4031,0,4337,1782,2120,1843,2057,2385,1236,2877,2567,150,2488,616,6341,642,414,7131,116,9228
Aasdhppt,1,657,18,5,2148,2295,172,1045,4121,122,154,16,1184,84,273,87,0,217,5310,18,0,2846,75,1032,1768,42,107,4113,312,59,4406,3322,14,122,1528,708,4774,29,93,26,18,199,3489,4503,2355,2835,4288,20,254,746,291,1341,6,10,2222,68,594,2,2452,291,538,47,17,668,162,3703
Aass,0,58,0,0,84,51,49,0,1215,1,23,87,804,5,169,0,0,1,0,5,0,67,469,0,417,1,1,0,0,10,0,2,0,0,64,0,412,0,0,1,6,2,21,0,2389,1,0,0,0,2,1,12,0,2,25,332,0,8,83,0,74,97,42,80,0,0
Aatf,182,210,0,0,1275,1336,765,297,2082,458,700,320,19,1970,621,2062,715,465,7,1918,3603,671,3006,1733,885,19,13,2123,268,244,36,506,0,0,924,1790,2155,354,726,162,5,165,1523,1897,2172,453,15,0,0,395,940,508,1016,1151,221,855,580,2,1452,4,1292,2,5,294,40,287
Aatk,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,1,1,1,4,1,1,2,0,2,1,1,0,3,0,1,10,1,0
Abat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abca1,0,0,1,0,552,0,0,0,0,0,0,0,1,0,4,0,0,0,1,2,0,2,1,2,2,2,6,0,0,0,0,116,1,1,5,1,0,1,1,41,0,0,0,1,15,1,0,0,1,3,0,15,269,3,0,0,0,1,260,0,77,4,0,0,0,1
Abca2,3,0,0,1,15,14,196,0,0,3,2,2,14,2,476,54,0,0,3,64,0,7,33,9,388,0,1,0,22,3,0,0,0,1,0,60,220,2,0,1,0,1,4,16,0,2,0,1,8,1,1,1,14,0,0,70,0,1,2,0,8,0,0,2,0,3
Abca4,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,2,0,2,0,0,1,0,1,2,2,1,0,1,0,0,0,0,421,0,0,8,0,0,2,4,0,1,0,1,2,1,3,0,1,51,1,0,0,0,0,0,2,0,0,0,0,3,1,2
Abca5,0,0,0,1,461,190,0,0,0,61,0,407,0,0,0,15,0,31,0,3,0,1,22,0,10,0,6,0,30,0,0,46,0,0,2,0,58,13,0,10,2,0,1380,0,79,0,0,0,0,0,8,0,0,0,1,0,0,0,3,0,0,4,0,0,0,0
Abca7,3,6,3,4,221,26,23,4,42,68,71,3,10,2,2,7,0,0,1,171,2,115,271,1,71,3,2,0,697,0,226,0,1,0,1146,0,53,73,2,2,2,17,101,1,0,0,2,3,3,9,126,5,2,35,2,10,1,3,1,1,11,3,2,168,7,68
Abca8a,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Abca13,0,2,1,0,1,3,59,0,0,0,1,0,0,0,0,0,0,13,0,3,0,3,2,0,0,1,0,2,0,0,0,1,1,1,0,0,1,0,1,0,3,1,2,0,0,0,1,0,1,0,3,3,0,3,0,1,1,0,0,0,1,0,0,3,1,0
Abca15,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,69,1,0,2,0,2,4,0,0,12,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Abca17,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,3,0,0,20,2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Abcb1a,0,0,0,0,465,6,0,79,0,0,120,5,0,529,0,167,0,0,101,209,0,1,0,0,173,6,4,0,2,0,0,1,0,0,0,0,74,0,0,38,2,28,838,4,0,0,0,0,0,28,0,0,0,0,0,13,0,0,22,0,11,0,0,0,0,0
Abcb1b,0,0,0,0,761,16,6,0,85,61,75,0,120,10,0,3529,0,2686,503,0,0,18,3,2,1,1,18,82,0,0,0,0,0,0,169,0,47,5,0,10,1,40,88,43,174,0,0,0,0,49,0,14,0,4,2,272,0,0,667,0,254,3,0,3,1,2
Abcb4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3930,1,1,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Abcb6,0,0,0,1,226,816,290,491,196,185,47,362,128,99,92,1868,6,1,552,1,270,476,1275,768,469,4,5,17,428,1,243,258,0,1,403,1138,412,86,1,15,0,13,1150,301,363,4,0,0,0,194,16,139,4,2,539,12,78,0,102,61,545,4,0,244,0,112
Abcb7,1,1,0,0,38,0,0,0,0,304,125,0,4,27,646,1700,0,0,1,0,0,47,3683,496,55,4,0,0,0,0,11,1354,0,0,206,22,0,4,0,0,0,15,83,68,196,1362,0,0,4,2,0,42,416,1,0,0,0,0,3,1,195,0,0,0,0,89
Abcb8,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,37,0,0,0,0,8,0,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,95,1,0,0,0,0,0,0,0,1,0,0,0,0,2,4,0,1,10,0,0
Abcb9,0,1,0,0,1,8,0,0,20,15,1,0,0,0,7,1048,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,124,0,0,2,0,378,0,1
Abcb10,0,2,3,6,381,27,143,117,3,0,8,888,2,1651,1,59,20,3,1,318,1,12,183,2,89,0,1,1,135,1,272,0,380,1,268,35,4,31,1,7,1,12,114,20,12,0,0,2,0,0,16,3,89,1,4,1,0,4,13,0,22,4,14,91,3,41
Abcb11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Abcc1,0,0,0,0,191,13,347,0,1,5,0,0,6,2,42,370,0,0,111,5,0,124,2,106,209,1,0,0,38,0,113,130,44,8,251,97,2721,226,0,4,2,1,1369,116,0,0,0,3,0,11,24,53,0,15,0,49,14,5,0,22,21,0,0,0,0,92
Abcc2,0,0,0,0,0,0,10,0,0,1,3,3,0,0,4,0,0,3,0,0,0,29,0,0,0,0,1,0,2,0,0,1,0,0,68,0,0,0,0,9,2,0,0,0,0,0,1,0,1,39,1,0,0,0,0,0,1,0,0,1,1,0,2,360,0,0
Abcc3,0,0,0,0,2,1,0,0,5,4,4,1,4,226,7,5,0,0,0,1,9,2,0,0,5,0,0,0,0,0,3,2,0,0,1,0,1,0,0,1,0,2,0,0,2,2,0,0,0,1,1,4,0,0,0,0,0,0,0,0,3,0,1,0,0,0
Abcc4,0,0,0,0,0,0,135,4,1,2,0,2,0,1,1,0,3,0,1,0,0,0,13,1,13,0,5,0,1,0,0,62,1,1,163,63,3,4,19,1,1,0,0,37,2,3,0,0,0,2,3,1,1,2,7,0,0,1,106,1,123,0,0,5,1,5
Abcc5,0,0,0,73,53,11,144,33,0,18,0,8,0,0,2,0,0,2764,10,0,11,1,46,0,56,1,6,0,427,1,2517,32,0,0,124,0,97,0,0,1,1,2,0,0,0,267,1,0,18,0,243,0,0,2,0,2,1,0,1,0,26,73,0,11,0,7
Abcc6,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2
Abcc8,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
Abcc9,0,0,1,0,681,0,0,0,0,18,3,17,2,12,0,1,0,0,0,187,0,119,26,10,226,3,31,0,0,0,11,0,1,0,294,0,667,3501,0,110,3,99,0,10,9,0,23,0,0,0,0,2,1,456,1,184,61,7,3,0,366,139,7,9,0,1
Abcc10,0,0,2,0,1,2,2,0,1,1,1,1,1,0,3,1,0,0,0,1,0,24,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,3,1,0,7,0,0,2,1,3,1,221,0,4,4,4,4
Abcc12,0,0,0,0,0,65,0,0,0,0,13,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Abcd1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Abcd2,1,0,0,1,459,26,4,0,80,2,2,1,0,1,3,13,1,10,0,10,1,1,0,4,4,0,1,0,11,0,1,0,1,1,0,0,0,0,1,40,1,0,1,1,0,0,651,1,0,2,5,2,0,10,0,1,0,1,2,1,13,14,0,1,1,0
Abcd3,9,11,4,104,1184,1136,447,182,2,91,240,140,24,35,123,705,32,5,301,624,484,44,30,129,409,20,19,8,1253,0,25,74,0,6,46,14,29,3580,6,18,1,52,38,42,807,155,51,1,7,68,173,36,35,149,328,474,82,4,52,0,547,11,53,72,1,65
Abcd4,1,0,0,2,3,3,0,0,3,0,1,2,0,0,0,1,120,0,0,1,152,13,0,1,10,1,0,1,676,0,0,21,0,0,17,50,0,1,0,0,0,0,0,2,0,535,6,0,0,0,11,501,0,0,1,3,0,0,12,0,56,0,1,5,0,34
Abce1,2,2,479,3303,813,1564,437,201,288,729,245,150,86,1227,124,2454,138,199,86,2020,720,576,178,193,266,10,32,110,384,899,126,1741,1387,31,2270,2300,131,164,0,14,6,44,905,633,1314,178,617,0,2355,168,432,500,37,605,633,113,222,114,893,182,1866,74,199,2189,56,696
Abcf1,307,2525,1077,3,3630,3041,1050,1184,5248,4256,2548,2233,2089,4031,727,1744,995,0,1859,1929,400,541,928,691,3674,41,71,109,2930,3319,770,2431,8162,12472,2438,8940,102,441,16261,128,7,309,1700,7285,2510,4474,638,4,437,1003,2256,4357,353,2162,793,1364,611,2234,1611,234,2417,188,914,2708,0,2689
Abcf2,19,13,0,4861,363,966,286,318,821,16,76,337,68,106,204,622,207,149,65,116,469,73,161,12,69,7,10,1246,1100,354,551,378,12,129,182,1235,92,16,688,1,1,19,3120,48,23,32,22,0,3,255,17,73,70,88,17,65,82,6,71,12,262,425,293,113,1,121
Abcf3,0,0,0,1,10,44,178,38,17,455,22,0,2,5,283,67,20,1,0,52,0,6,136,1,7,1,1,0,2,0,0,0,18,0,1,257,13,2,1,0,0,29,0,3,27,59,3,3,122,1,2,3,18,0,22,36,23,0,1,0,42,0,0,47,0,34
Abcg1,2,0,0,21,474,342,4,217,53,55,22,31,28,1,64,2,3,0,55,48,0,18,675,26,49,9,24,0,0,11,10,7,0,0,1,19,25,249,0,10,0,12,709,19,0,36,6,0,67,22,899,58,0,99,11,90,4,0,17,0,98,1,0,39,0,32
Abcg2,0,0,0,0,0,0,0,31,0,0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,199
Abcg3l1,2,0,0,0,1,0,0,7,0,9,0,0,1,141,0,0,27,0,0,0,0,0,0,0,2,0,1,0,0,0,0,7,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abcg3l2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abcg3l3,1,0,0,72,14,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,2,0,3,0,0,6
Abcg3l4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
Abcg3,0,0,0,0,12,0,0,0,2,8,0,0,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,0,2,0,2,0,0,0,0,37,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18
Abcg4,1,0,0,0,1,3,0,9,0,1,4,10,0,1,0,1,1,0,1,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,3,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,238,2,2,4,5,0,0,0,2,2,0,0,0,0,2,1
Abcg5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abcg8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abhd1,0,0,0,1,22,14,5,13,33,7,7,0,1,12,3,47,4,0,4,19,19,0,907,1,10,0,5,1,1,10,9,6,25,0,7,14,1570,6,0,3,1,9,1,2,3,6,0,1,2,6,6,6,3,4,5,1,0,3,5,0,3,3,2,4,0,10
Abhd2,0,0,0,0,0,15,65,4,97,0,50,4,1,3,0,8,0,0,584,23,0,0,3,0,5,0,3,0,0,0,0,0,0,0,0,0,0,1327,0,0,0,1,5,0,0,1,0,0,2,0,535,1,0,10,0,1,0,0,49,0,56,0,0,0,0,13
Abhd3,0,0,0,0,8,212,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,25,0,1,1,0,1,3,0,25,0,0,0,95,0,0,0,1,1,16,0,15,0,0,0,0,0,21,2,2,1,1170,0,247,3,0,0,0,3,0,0,0,0,0
Abhd4,0,1,0,12,185,58,151,14,13,3,11,5,0,19,38,954,6,3,9,98,9,17,298,32,41,12,15,20,13,312,0,6,1,0,1566,0,1223,9,2260,6,3,5,72,217,29,2135,6,0,0,11,468,7,15,17,80,18,1000,0,2516,57,513,35,12,68,3,394
Abhd5,0,0,0,0,2,162,23,0,0,0,0,2,0,0,0,49,0,0,0,4,0,184,1,0,0,1,2,1,0,0,0,0,0,0,6,0,0,0,0,0,0,2,189,0,2,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Abhd6,0,0,0,3,1429,400,60,8,218,17,224,116,57,0,300,979,0,1,353,0,0,57,175,799,189,18,12,0,0,0,110,383,0,0,924,2814,172,568,0,10,1,18,45,890,223,2108,0,0,0,40,1569,3,6,75,298,1,77,0,155,0,794,44,0,153,0,6
Abhd8,2,17,34,10,33,50,17,23,7,17,10,24,1,7,66,34,1,32,43,199,49,4,36,0,5,0,1,0,0,306,154,39,0,0,10,87,0,17,0,7,0,0,165,95,44,20,8,0,5,19,21,27,44,77,382,0,10,16,17,1,110,1,1,40,8,32
Abhd10,0,21,0,0,3,3,4,0,32,0,0,6,1,0,1,33,0,14,2,22,2,0,0,0,4,1,0,38,0,32,0,1,0,0,16,0,0,0,0,0,0,0,13,0,0,31,21,0,151,34,0,4,0,1,2,1,0,0,1,1,35,0,3,1,0,1
Abhd11,0,0,0,241,215,314,62,23,81,54,0,1,112,2,372,737,7,208,80,0,0,188,53,272,189,0,5,526,4,0,245,1101,1,0,65,302,387,4,78,0,0,36,163,423,12,702,159,0,2,179,32,0,0,3,24,172,21,0,1,0,200,0,5,631,0,2
Abhd12b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abhd12,20,0,0,1,89,22,0,3,2,3,4,105,0,14,283,22,0,13,4,6,46,77,31,1,20,0,1,0,34,0,6,47,598,0,4,9,0,0,0,7,1,5,95,20,24,4,0,0,3,206,13,1367,1,2,0,76,4,3,12,1,83,0,6,147,0,68
Abhd13,1,4,0,14,107,125,158,92,0,35,117,10,1,0,481,82,0,0,5,23,4,16,524,0,220,8,4,39,5,0,0,0,0,0,17,0,4,0,399,34,3,12,66,44,11,3,1,0,19,0,7,546,3,39,2,14,1,1,2,5,2402,0,7,6,0,16
Abhd14a,0,0,1,0,0,24,157,17,7,1,0,1,0,10,0,1,0,0,0,0,0,1,0,63,6,0,0,7,0,0,10,2,0,0,0,0,0,2,0,0,0,1,0,0,0,25,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,4,5
Abhd14b,0,0,0,0,17,5,90,68,5,10,10,5,310,23,28,178,0,1,1989,391,151,1,252,1,17,3,1,151,9,231,63,12,1,78,180,10,2,0,21,3,0,15,69,566,583,152,31,7,13,8,7,1,14,24,21,15,35,28,103,0,8,0,8,679,0,67
Abhd15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,157,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,10,1,0,0,0,2
Abhd16a,0,1,0,0,32,2,4,4,1,4,1,1,8,1,0,2,0,0,4,5,2,31,312,30,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,575,3,2,2,4,0,3,0,0,788,0,14,0,0,1,0,145
Abhd16b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Abhd17a,28,1486,20,60,820,224,660,60,2328,415,43,779,14,314,278,1138,42,0,908,671,305,100,468,30,432,4,24,1160,1228,1573,1379,487,3221,10,1653,623,2277,80,64,10,5,51,1669,684,152,302,210,0,84,376,953,289,28,24,605,218,23,9,685,34,919,53,118,96,5,92
Abhd17b,3,125,74,0,46,47,11,0,56,1,22,32,45,25,16,248,0,21,2378,1758,237,74,17,247,26,11,12,402,2,0,0,55,0,0,98,14,3,208,0,0,2,74,91,215,2,153,1135,77,0,302,46,11,0,27,1,180,1,1,526,1,533,0,2,31,0,493
Abhd17c,35,9,0,0,128,165,5,487,95,280,27,1,0,165,25,22,0,0,423,71,1092,3,255,1,27,5,38,251,0,0,63,45,5,9540,39,0,11,0,38,2,2,82,1764,101,12,242,74,0,4,1,1,945,1,13,214,0,0,0,53,1,318,232,96,0,284,631
