symbol,NGF-1-1,NGF-1-2,NGF-1-3,NGF-1-4,NGF-2-1,NGF-2-2,NGF-2-3,NGF-2-4,NGF-3-1,NGF-3-2,NGF-3-3,NGF-3-4,NGF-C-1,NGF-C-2,NGF-C-3,NGF-1-5,NGF-1-6,NGF-1-7,NGF-2-5,NGF-2-6,NGF-2-7,NGF-3-5,NGF-3-6,NGF-3-7,NGF-7-1,NGF-7-2,NGF-7-3,NGF-C-4,NGF-C-5,NGF-C-6,NGF-1-10,NGF-1-8,NGF-1-9,NGF-2-10,NGF-2-8,NGF-2-9,NGF-3-10,NGF-3-8,NGF-3-9,NGF-7-4,NGF-7-5,NGF-7-6,NGF-C-7,NGF-C-8,NGF-C-9,NGF-1-11,NGF-1-12,NGF-1-13,NGF-1-14,NGF-1-15,NGF-2-11,NGF-2-12,NGF-2-13,NGF-2-14,NGF-2-15,NGF-3-11,NGF-3-12,NGF-3-13,NGF-3-14,NGF-3-15,NGF-C-10,NGF-C-11,NGF-C-12,NGF-C-13,NGF-C-14,NGF-C-15
Btd,0,1333,43,4,4,209,5,5,11,16,2,7,3,1,1,3,3,1,6,11,0,1,13,17,0,0,3,0,8,5,0,11,1,0,2,1,2,2,0,0,0,2,2927,24,92,1434,0,0,2,836,11,64,10,812,1,2,8,0,2,2,9,1,1,2,0,2
Btf3,104,1785,540,871,1346,2118,967,4004,2173,1066,1349,761,1411,2711,1347,2849,850,1256,4476,5321,4691,4587,4152,6787,2237,81,94,1299,697,2038,1499,1611,8336,15149,5200,8021,12586,6323,7955,220,17,706,10545,4977,2059,8188,1307,675,3438,2570,3092,2149,2913,3241,1616,2086,2514,1178,6269,2624,2383,194,217,8061,27,5343
Btg1,29,372,0,25,1549,1280,438,28,1071,299,100,352,62,834,141,2682,205,9,1004,239,106,0,1936,6274,851,196,122,283,32,1488,759,4578,33,373,599,2482,13197,9763,14889,82,34,1152,3000,3312,630,4393,472,55,60,263,978,47,42,187,110,1957,102,294,1240,4,1857,366,207,991,162,1569
Btg2,0,0,1,0,88,27,245,310,5,18,41,1,0,3,52,79,0,0,0,134,2,215,6,17,1,0,3,1,2,0,2,44,1,0,222,5479,2,0,10,15,1,7,259,0,0,0,1,0,2,0,9,3,0,0,59,9,6,8,5,1,144,0,4,5,0,144
Btg3,89,140,1,407,1561,507,657,186,1527,922,182,254,129,182,514,347,3555,17,553,906,0,72,1913,1903,550,73,93,23,229,495,4161,957,4397,0,2724,4014,8950,217,10193,380,15,294,12321,3734,507,1214,5,0,984,447,3351,1157,1074,192,87,619,672,1881,3425,2067,690,139,71,2480,263,888
Btg4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Btla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btn1a1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btn3a2,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
