symbol,NGF2-1-5,NGF2-1-6,NGF2-1-7,NGF2-2-5,NGF2-2-6,NGF2-2-7,NGF2-3-5,NGF2-3-6,NGF2-3-7,NGF2-7-5,NGF2-7-6,NGF2-7-7,NGF2-C-5,NGF2-C-7,NGF2-1-1,NGF2-1-2,NGF2-1-3,NGF2-2-1,NGF2-2-2,NGF2-2-3,NGF2-3-1,NGF2-3-2,NGF2-3-3,NGF2-7-1,NGF2-7-2,NGF2-7-3,NGF2-C-1,NGF2-C-2,NGF2-C-3,NGF2-1-10,NGF2-1-8,NGF2-1-9,NGF2-2-10,NGF2-2-8,NGF2-2-9,NGF2-3-10,NGF2-3-8,NGF2-3-9,NGF2-7-10,NGF2-7-8,NGF2-7-9,NGF2-C-10,NGF2-C-8,NGF2-C-9,NGF2-1-14,NGF2-1-15,NGF2-1-4,NGF2-2-14,NGF2-2-15,NGF2-2-4,NGF2-3-14,NGF2-3-15,NGF2-3-4,NGF2-7-14,NGF2-7-15,NGF2-7-16,NGF2-7-4,NGF2-C-14,NGF2-C-15,NGF2-C-4,NGF2-1-11,NGF2-1-12,NGF2-1-13,NGF2-2-11,NGF2-2-12,NGF2-2-13,NGF2-3-11,NGF2-3-12,NGF2-3-13,NGF2-7-11,NGF2-7-12,NGF2-7-13,NGF2-C-11,NGF2-C-12,NGF2-C-13
Fam209a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam210a,2,368,816,0,0,291,8,126,830,1,197,15,23,5,0,0,1,311,20,1,13,95,0,542,298,168,2,168,2232,65,17,0,443,46,383,148,224,524,93,713,802,1,1,2,98,3,0,459,1,2,285,2,0,2041,2,141,59,530,0,5,342,667,126,0,2590,16,6,3,78,1881,1444,398,7263,5,0
Fam210b,1,0,2,0,0,0,0,0,18,0,1,0,0,0,16,0,3,3,0,1,1,2,658,2,1,1,3,0,4,0,0,1,1,0,1,0,11,1,0,138,41,0,0,4,47,0,0,56,0,5,1,74,1,0,0,2,0,4,1,0,4,1,0,0,1,0,1,6,2,72,1,118,1,0,10
Fam212a,0,1,10,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92,1,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2007,3,0,1,1,11,0,0,0
Fam212b,1,0,13,0,0,0,0,0,1,0,0,263,0,0,3653,0,0,1,1,0,0,0,2,11,32,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
Fam213a,0,14,149,1,0,1556,1,188,1729,2289,183,1469,20,3,0,18,2,1,2,0,0,5861,12,765,827,4182,0,0,29,2,21,153,0,79,48,25,1829,42,859,24,538,3,173,0,0,140,16,541,40,0,0,1,9,171,95,213,16610,120,0,508,0,0,568,2,180,0,2,0,243,890,11,560,37,1,1
Fam213b,36,490,0,0,0,77,329,1,0,124,6,0,0,0,0,0,0,0,351,0,0,0,87,13,80,279,1,7,1,8,1,871,0,195,143,2,0,1,0,16,388,0,0,0,0,295,0,202,620,1,14,0,0,85,0,172,0,29,0,32,0,0,16,0,0,18,0,1,0,41,4,9,0,0,1
Fam214a,0,0,2,0,0,0,0,1,4,1,0,82,0,0,0,0,0,0,0,0,0,0,24,3,76,0,0,0,1,0,43,0,0,1,2071,1,0,1221,0,574,1,0,118,1,0,10,0,338,0,0,0,10,387,19,22,0,0,0,320,1,0,0,2,0,0,0,0,0,0,380,0,13,0,0,1
Fam214b,1,2,5,0,0,1,3,0,3,0,0,1,1,0,0,1,0,1,2,4,0,0,1,1,0,109,1,1,2,1,1,0,0,1,0,0,0,1,0,1,2,3,1,2,1,2,4,3,0,0,0,0,2,9,0,1,0,1,1,2,0,1,1,1,2,13,1,4,8,2,4,0,0,1,1
Fam216a,0,57,929,5,29,50,6057,1041,4,19,128,2520,662,583,2,5,0,130,0,6,1146,29,2792,133,85,2862,0,0,71,6726,13,162,209,1,178,36,94,1605,3815,1212,1118,0,338,972,779,8,0,421,15,6976,3,1876,0,239,3,6,110,636,0,1383,0,5723,199,0,31,3,81,15,15,145,1242,863,4,318,574
